iter	Passed	Remaining
0	1	147
1	2	131
2	3	126
3	4	117
4	6	116
5	7	116
6	8	117
7	10	116
8	11	116
9	12	115
10	14	113
11	15	111
12	16	108
13	17	106
14	18	104
15	19	102
16	20	99
17	21	96
18	22	95
19	23	92
20	24	90
21	25	88
22	25	86
23	26	84
24	27	83
25	28	81
26	29	79
27	30	77
28	31	76
29	32	74
30	32	73
31	33	71
32	34	70
33	35	69
34	36	67
35	37	66
36	38	65
37	39	63
38	40	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	51	46
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	70	24
74	71	23
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	90	2
97	91	1
98	92	0
99	93	0
